scientific_name,cluster,cluster_half,cluster_double
Artamus cyanopterus,1,1,1
Conopophaga castaneiceps,1,1,1
Lanius meridionalis,1,1,1
Pachycephala pectoralis,1,1,1
Platalea ajaja,7,6,7
Psophia crepitans,2,2,2
Smithornis capensis,1,1,1
Trachyphonus erythrocephalus,1,1,1
Vidua wilsoni,1,1,1
Bucco tamatia,1,1,1
Grallaria milleri,1,1,1
Haematopus fuliginosus,10,9,10
Lamprospiza melanoleuca,1,1,1
Laniarius aethiopicus,1,1,1
Laniocera hypopyrra,1,1,1
Merops mentalis,1,1,1
Mycteria cinerea,36,22,66
Oriolus nigripennis,1,1,1
Pachyramphus aglaiae,1,1,1
Pitta megarhyncha,1,1,133
Rhipidura albicollis,1,1,1
Spindalis dominicensis,1,1,1
Callipepla gambelii,1,1,1
Calyptomena viridis,1,1,1
Crypturellus cinereus,1,1,34
Eudocimus albus,21,9,70
Eupodotis afraoides,2,2,2
Icteria virens,1,1,1
Lanius collurio,1,1,1
Microbates collaris,1,1,1
Microcarbo melanoleucos,2,2,2
Opisthocomus hoazin,2,2,2
Petroica phoenicea,1,1,1
Psilopogon faiostrictus,1,1,1
Rhipidura nigritorquis,1,1,1
Sarothrura ayresi,1,1,1
Scotocerca inquieta,1,1,1
Tauraco livingstonii,5,1,5
Anastomus oscitans,7,6,119
Chloropsis aurifrons,1,1,1
Coracias temminckii,1,1,1
Haematopus longirostris,10,9,10
Momotus coeruliceps,1,1,1
Phaenicophilus palmarum,1,1,1
Psilopogon haemacephalus,1,1,1
Scytalopus stilesi,1,1,1
Tetrax tetrax,2,2,63
Toxostoma lecontei,1,1,1
Anhima cornuta,2,2,92
Certhia americana,1,1,1
Cryptosylvicola randrianasoloi,1,1,1
Horornis brunnescens,1,1,1
Lissotis hartlaubii,2,2,68
Pterocles orientalis,1,1,1
Pteroglossus azara,16,15,20
Tricholaema hirsuta,1,1,1
Aegotheles cristatus,1,1,1
Burhinus superciliaris,2,2,2
Climacteris erythrops,1,1,1
Coracias naevius,1,1,1
Dicaeum hirundinaceum,1,1,1
Dicrurus balicassius,1,1,1
Donacobius atricapilla,1,1,1
Dromas ardeola,10,9,31
Lanius cristatus,1,1,1
Merops albicollis,1,1,1
Merops leschenaulti,1,1,1
Phyllergates cucullatus,1,1,1
