scientific_name,common_name,taxonomic_order,taxonomic_family,pc1,pc2,pc3,pc4,trophic_niche,foraging_niche
Artamus cyanopterus,Dusky Woodswallow,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",-0.421936774808774,0.0354887878013593,-0.262066690305993,0.0181141491544754,Invertivore,Invertivore aerial
Conopophaga castaneiceps,Chestnut-crowned Gnateater,Passeriformes,Conopophagidae (Gnateaters),-0.773261870823019,0.0251842580552931,0.21319838994166,0.265138864897495,Invertivore,Invertivore sally ground
Lanius meridionalis,Iberian Gray Shrike,Passeriformes,Laniidae (Shrikes),0.446204020251913,-0.00541328964249763,-0.36761880173063,-0.0345559726565989,Invertivore,Invertivore sally ground
Pachycephala pectoralis,Golden Whistler,Passeriformes,Pachycephalidae (Whistlers and Allies),-0.551640756159606,0.0635966245274235,-0.161303165120812,0.0114064585165227,Invertivore,Invertivore glean arboreal
Platalea ajaja,Roseate Spoonbill,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),5.10110617372692,-1.23207905667044,0.919611824939955,-0.0769761263332407,Aquatic predator,Aquatic ground
Psophia crepitans,Gray-winged Trumpeter,Gruiformes,Psophiidae (Trumpeters),3.77731191205853,0.982909710530848,0.433330390533932,-0.0807387082805496,Frugivore,Fugivore ground
Smithornis capensis,African Broadbill,Passeriformes,Calyptomenidae (African and Green Broadbills),-0.908013950528903,-0.310217277391711,-0.340142925505889,0.666757612817952,Invertivore,Invertivore sally surface
Trachyphonus erythrocephalus,Red-and-yellow Barbet,Piciformes,Lybiidae (African Barbets),0.603771596618265,-0.430507841651049,-0.209366847431192,0.0739191545339355,Omnivore,NA
Vidua wilsoni,Wilson's Indigobird,Passeriformes,Viduidae (Indigobirds),-1.904606929199,0.149416592219615,-0.252059865668528,0.614922049202328,Granivore,Granivore ground
Bucco tamatia,Spotted Puffbird,Galbuliformes,Bucconidae (Puffbirds),-0.0113230905078133,-1.06502297828121,-0.206936521612482,0.454375915163686,Invertivore,Invertivore sally surface
Grallaria milleri,Brown-banded Antpitta,Passeriformes,Grallariidae (Antpittas),0.0740468196023818,0.127147325076709,0.294759582074371,0.370692455376141,Invertivore,Invertivore ground
Haematopus fuliginosus,Sooty Oystercatcher,Charadriiformes,Haematopodidae (Oystercatchers),3.72966159056315,-0.530600688612732,0.795246282026529,-0.388098195939018,Aquatic predator,Aquatic ground
Lamprospiza melanoleuca,Red-billed Pied Tanager,Passeriformes,Mitrospingidae (Mitrospingid Tanagers),-0.286196278079775,-0.209291755027836,-0.301172049697359,0.347104149232205,Omnivore,NA
Laniarius aethiopicus,Ethiopian Boubou,Passeriformes,Malaconotidae (Bushshrikes and Allies),0.16855630294979,-0.00568239458443569,-0.13703219175874,-0.0333510853266488,Invertivore,Generalist
Laniocera hypopyrra,Cinereous Mourner,Passeriformes,Tityridae (Tityras and Allies),-0.00900073870862351,0.0750469565627746,-0.196299978015093,0.0279461256157506,Invertivore,Invertivore sally surface
Merops mentalis,Blue-moustached Bee-eater,Coraciiformes,Meropidae (Bee-eaters),-0.605060400642185,-1.17864977268409,-0.069213312343479,-0.344681590258245,Invertivore,Invertivore sally air
Mycteria cinerea,Milky Stork,Ciconiiformes,Ciconiidae (Storks),6.36839656791158,-1.61651619139742,0.556561929310085,-0.113455973148587,Aquatic predator,Aquatic ground
Oriolus nigripennis,Black-winged Oriole,Passeriformes,Oriolidae (Old World Orioles),0.356261026555925,-0.24946629812142,-0.197746639918739,-0.0100888678326262,Frugivore,Fugivore glean
Pachyramphus aglaiae,Rose-throated Becard,Passeriformes,Tityridae (Tityras and Allies),-0.564925561550795,-0.138966271756877,-0.305514922420592,0.263953525194812,Omnivore,NA
Pitta megarhyncha,Mangrove Pitta,Passeriformes,Pittidae (Pittas),1.11232551476954,-0.562385549972307,0.550563799590846,0.720306889555737,Invertivore,Invertivore ground
Rhipidura albicollis,White-throated Fantail,Passeriformes,Rhipiduridae (Fantails),-1.76196634368753,0.512668164123625,-0.468426511295269,-0.506837331798436,Invertivore,Invertivore sally air
Spindalis dominicensis,Hispaniolan Spindalis,Passeriformes,Spindalidae (Spindalises),-0.865068227716314,0.404189781930085,-0.227085002991387,0.210083856962327,Frugivore,Fugivore glean
Callipepla gambelii,Gambel's Quail,Galliformes,Odontophoridae (New World Quail),0.919394389595005,0.819779026460423,0.0732957890934281,0.343189675261578,Omnivore,NA
Calyptomena viridis,Green Broadbill,Passeriformes,Calyptomenidae (African and Green Broadbills),-0.117079804853567,0.28615794131625,0.146865869628771,0.466778293461918,Frugivore,Fugivore aerial
Crypturellus cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae (Tinamous),2.01570192675016,1.18774639646918,1.02147149953969,0.247733420727083,Omnivore,NA
Eudocimus albus,White Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),4.35653994648285,-1.1810279645577,1.03219173160093,-0.416264327725405,Aquatic predator,Aquatic ground
Eupodotis afraoides,White-quilled Bustard,Otidiformes,Otididae (Bustards),3.25703723450346,0.909068436587739,0.363635496061923,-0.163261407816147,Invertivore,Invertivore ground
Icteria virens,Yellow-breasted Chat,Passeriformes,Icteriidae (Yellow-breasted Chat),-0.770204367663725,0.0257208715572861,-0.220419843954787,0.0537411318663041,Invertivore,Invertivore glean arboreal
Lanius collurio,Red-backed Shrike,Passeriformes,Laniidae (Shrikes),-0.567547527788345,-0.0162836289095192,-0.279653525346573,0.0180864072086288,Invertivore,Invertivore sally ground
Microbates collaris,Collared Gnatwren,Passeriformes,Polioptilidae (Gnatcatchers),-2.04372636398045,-0.320876196167036,0.66662367915799,-0.033737179994054,Invertivore,Invertivore glean arboreal
Microcarbo melanoleucos,Little Pied Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),3.07024283628582,0.291718010347014,0.312773304202335,-0.154785280481018,Aquatic predator,Aquatic dive
Opisthocomus hoazin,Hoatzin,Opisthocomiformes,Opisthocomidae (Hoatzin),3.52032746690764,0.856920565706961,-0.610910302901029,-0.385997053720152,Herbivore terrestrial,Herbivore arboreal
Petroica phoenicea,Flame Robin,Passeriformes,Petroicidae (Australasian Robins),-1.85404889968854,0.41086603815163,-0.0747037727454312,-0.176403444726871,Invertivore,Generalist
Psilopogon faiostrictus,Green-eared Barbet,Piciformes,Megalaimidae (Asian Barbets),0.960001944025401,-0.409904863128266,-0.0638049149566357,0.481189384659697,Frugivore,Fugivore glean
Rhipidura nigritorquis,Philippine Pied-Fantail,Passeriformes,Rhipiduridae (Fantails),-1.63070543005735,-0.0878560962047323,-0.321819685986995,-0.160022192690246,Invertivore,Invertivore sally air
Sarothrura ayresi,White-winged Flufftail,Gruiformes,Sarothruridae (Flufftails),-1.39985911512998,0.925228473361616,0.572252224000402,0.222479193938947,Omnivore,NA
Scotocerca inquieta,Scrub Warbler,Passeriformes,Scotocercidae (Bush Warblers and Allies),-2.5845250179616,0.430432137235064,0.160619873848184,-0.269008355941998,Invertivore,Invertivore ground
Tauraco livingstonii,Livingstone's Turaco,Musophagiformes,Musophagidae (Turacos),2.09298149011107,0.67399768407789,-0.540959742267277,-0.216352272349666,Frugivore,Fugivore glean
Anastomus oscitans,Asian Openbill,Ciconiiformes,Ciconiidae (Storks),5.29263475759335,-1.36018266122988,0.2845443707942,-0.269296323997485,Aquatic predator,Aquatic ground
Chloropsis aurifrons,Golden-fronted Leafbird,Passeriformes,Chloropseidae (Leafbirds),-0.475012180649802,-0.197147603856709,0.132211886750715,-0.29887573543677,Omnivore,NA
Coracias temminckii,Purple-winged Roller,Coraciiformes,Coraciidae (Rollers),2.08371792296069,-0.823355279033533,-0.463498570435088,0.0234514295429449,Invertivore,Invertivore sally ground
Haematopus longirostris,Pied Oystercatcher,Charadriiformes,Haematopodidae (Oystercatchers),3.46539752626663,-0.648994193055944,0.894142071808167,-0.483305649764063,Aquatic predator,Aquatic ground
Momotus coeruliceps,Blue-capped Motmot,Coraciiformes,Momotidae (Motmots),1.69266289562645,-0.694562267080048,-0.514503127501277,-0.426070145869474,Omnivore,NA
Phaenicophilus palmarum,Black-crowned Palm-Tanager,Passeriformes,Phaenicophilidae (Hispaniolan Tanagers),-0.378100631284282,-0.347069570502007,-0.165125957994646,0.030819384669419,Invertivore,Invertivore glean arboreal
Psilopogon haemacephalus,Coppersmith Barbet,Piciformes,Megalaimidae (Asian Barbets),-0.156239429979398,-0.496820763786627,0.0539088410600869,0.952379545566361,Frugivore,Fugivore glean
Scytalopus stilesi,Stiles's Tapaculo,Passeriformes,Rhinocryptidae (Tapaculos),-1.34167540268649,0.264699761237424,0.254592188184002,0.167554006005721,Invertivore,Invertivore glean arboreal
Tetrax tetrax,Little Bustard,Otidiformes,Otididae (Bustards),3.00444738413499,1.05326775859116,0.577286381747682,0.186969367820122,Omnivore,NA
Toxostoma lecontei,LeConte's Thrasher,Passeriformes,Mimidae (Mockingbirds and Thrashers),0.570180450175475,-0.482275153000771,0.208601695297309,-0.61003750050721,Invertivore,Invertivore ground
Anhima cornuta,Horned Screamer,Anseriformes,Anhimidae (Screamers),5.17463393318592,1.21862844916769,0.0619610298246824,-0.398415026005518,Herbivore aquatic,Herbivore aquatic ground
Certhia americana,Brown Creeper,Passeriformes,Certhiidae (Treecreepers),-2.31743196292801,-0.0499647132843639,0.0823580465157767,-0.606466904439578,Invertivore,Invertivore bark
